"No.","timestamp","sourceIP","destinationIP","protocol","packetLength","Source Port","Destination Port","Data","Source","Reassembled in","info"
"1","1549884766.782580","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"2","1549884779.446007","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"3","1549884826.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"4","1549884839.445914","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"5","1549884886.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"6","1549884899.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"7","1549884946.782694","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"8","1549884959.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"9","1549885006.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"10","1549885019.445914","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"11","1549885066.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"12","1549885079.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"13","1549885126.782694","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"14","1549885139.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"15","1549885186.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"16","1549885199.445914","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"17","1549885246.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"18","1549885259.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"19","1549885306.782694","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"20","1549885319.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"21","1549885366.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"22","1549885379.445914","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"23","1549885426.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"24","1549885439.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"25","1549885486.782696","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"26","1549885499.445902","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
